0.000000,-163.776719,-4.759033,8.499129,0.272715
0.015625,-94.756530,,,
0.031250,-42.991389,-4.759033,8.499129,0.086909
0.046875,8.481294,,,
0.062500,94.464072,-4.759033,8.499129,0.272715
0.078125,197.701897,,,
0.093750,283.392216,-4.759033,8.298338,0.272715
0.109375,283.099757,,,
0.125000,196.824521,-4.759033,8.298338,0.272715
0.140625,93.586697,,,
0.156250,-61.416270,-4.759033,8.499129,0.272715
0.171875,-147.399047,,,
0.187500,-215.834319,-4.959823,8.499129,0.086909
0.203125,-284.562049,,,
0.218750,-267.014544,-4.959823,8.699919,0.086909
0.234375,-266.722085,,,
0.250000,-266.429627,-4.555245,8.499129,0.458521
0.265625,-231.919532,,,
0.281250,-248.882121,-4.759033,8.298338,0.086909
0.296875,-248.589663,,,
0.312500,-282.807299,-4.959823,7.899754,-0.101894
0.328125,-282.514840,,,
0.343750,-282.222382,-4.759033,8.298338,-0.101894
0.359375,-264.674876,,,
0.375000,-281.637465,-4.759033,8.499129,0.086909
0.390625,-281.345007,,,
0.406250,-229.287407,-4.759033,8.699919,0.086909
0.421875,-194.777312,,,
0.437500,-246.249995,-4.759033,8.897713,0.086909
0.453125,-349.195362,,,
0.468750,-331.647856,-4.555245,8.499129,0.086909
0.484375,-314.100350,,,
0.500000,-331.062939,-4.555245,8.097548,0.272715
0.515625,-313.515434,,,
0.531250,-313.222975,-4.759033,8.097548,0.272715
0.546875,-71.944773,,,
0.562500,306.496431,-4.959823,8.298338,0.086909
0.578125,-226.947739,,,
0.593750,-398.913294,-4.759033,8.298338,0.086909
0.609375,-346.855694,,,
0.625000,-346.563236,-4.959823,8.298338,0.086909
0.640625,-294.505636,,,
0.656250,-328.723272,-4.959823,8.499129,0.272715
0.671875,-259.410625,,,
0.687500,-173.135389,-4.555245,8.499129,0.458521
0.703125,-138.625294,,,
0.718750,-52.642517,-4.354455,8.499129,0.458521
0.734375,67.850355,,,
0.750000,171.088180,-4.555245,8.499129,0.458521
0.765625,136.285627,,,
0.781250,50.302849,-4.555245,8.298338,0.458521
0.796875,-18.424881,,,
0.812500,-104.407658,-4.759033,8.499129,0.644327
0.828125,-241.863119,,,
0.843750,-293.335802,-4.555245,8.499129,0.458521
0.859375,-327.553438,,,
0.875000,-344.223568,-4.555245,8.298338,0.458521
0.890625,-309.421016,,,
0.906250,-343.638651,-4.555245,8.298338,0.644327
0.921875,-360.601240,,,
0.937500,-343.053735,-4.555245,8.298338,0.644327
0.953125,-359.723865,,,
0.968750,-393.941501,-4.555245,8.499129,0.458521
0.984375,-341.883901,,,
1.000000,-427.574220,-4.354455,8.699919,0.272715
1.015625,-392.771667,,,
1.031250,-409.441798,-4.354455,8.897713,0.830134
1.046875,-409.149339,,,
1.062500,-391.309375,-4.150668,8.499129,0.458521
1.078125,-322.289186,,,
1.093750,-356.214364,-4.555245,8.499129,0.086909
1.109375,-338.666858,,,
1.125000,-424.357177,-4.354455,8.499129,-0.101894
